geography_type,geography,time_end,estimate,lci,uci,sample_size
admin1,Alabama,2009-01-01,0.37,0.351,0.389,6610
admin1,Alabama,2009-02-01,0.382,0.363,0.401,6610
admin1,Alabama,2009-03-01,0.384,0.365,0.403,6610
admin1,Alabama,2009-04-01,0.389,0.368,0.41,6610
admin1,Alabama,2009-05-01,0.391,0.37,0.412,6610
admin1,Alabama,2009-08-01,0.007,0.005,0.009,6610
admin1,Alabama,2009-09-01,0.082,0.071,0.093,6610
admin1,Alabama,2009-10-01,0.255,0.239,0.271,6610
admin1,Alabama,2009-11-01,0.334,0.316,0.352,6610
admin1,Alabama,2009-12-01,0.354,0.336,0.372,6610
admin1,Alabama,2010-01-01,0.39,0.366,0.414,6154
admin1,Alabama,2010-02-01,0.405,0.38,0.43,6154
admin1,Alabama,2010-03-01,0.41,0.385,0.435,6154
admin1,Alabama,2010-04-01,0.413,0.388,0.438,6154
admin1,Alabama,2010-05-01,0.413,0.388,0.438,6154
admin1,Alabama,2010-08-01,0.006,0.004,0.008,6154
admin1,Alabama,2010-09-01,0.054,0.046,0.062,6154
admin1,Alabama,2010-10-01,0.232,0.214,0.25,6154
admin1,Alabama,2010-11-01,0.323,0.303,0.343,6154
admin1,Alabama,2010-12-01,0.352,0.33,0.374,6154
admin1,Alabama,2011-01-01,0.371,0.353,0.389,6886
admin1,Alabama,2011-02-01,0.38,0.362,0.398,6886
admin1,Alabama,2011-03-01,0.39,0.37,0.41,6886
admin1,Alabama,2011-04-01,0.393,0.373,0.413,6886
admin1,Alabama,2011-05-01,0.393,0.373,0.413,6886
admin1,Alabama,2011-08-01,0.011,0.007,0.015,6886
admin1,Alabama,2011-09-01,0.076,0.068,0.084,6886
admin1,Alabama,2011-10-01,0.246,0.23,0.262,6886
admin1,Alabama,2011-11-01,0.323,0.305,0.341,6886
admin1,Alabama,2011-12-01,0.349,0.331,0.367,6886
admin1,Alabama,2012-01-01,0.404,0.38,0.428,5736
admin1,Alabama,2012-02-01,0.43,0.406,0.454,5736
admin1,Alabama,2012-03-01,0.434,0.409,0.459,5736
admin1,Alabama,2012-04-01,0.437,0.412,0.462,5736
admin1,Alabama,2012-05-01,0.438,0.413,0.463,5736
admin1,Alabama,2012-07-01,0.002,0.002,0.002,5736
