geography_type,geography,time_end,estimate,lci,uci,sample_size
admin1,Alabama,2012-08-01,0.011,0.007,0.015,5736
admin1,Alabama,2012-09-01,0.073,0.063,0.083,5736
admin1,Alabama,2012-10-01,0.25,0.232,0.268,5736
admin1,Alabama,2012-11-01,0.337,0.315,0.359,5736
admin1,Alabama,2012-12-01,0.374,0.352,0.396,5736
admin1,Alabama,2013-01-01,0.41,0.388,0.432,6482
admin1,Alabama,2013-02-01,0.425,0.403,0.447,6482
admin1,Alabama,2013-03-01,0.431,0.409,0.453,6482
admin1,Alabama,2013-04-01,0.444,0.417,0.471,6482
admin1,Alabama,2013-05-01,0.446,0.419,0.473,6482
admin1,Alabama,2013-08-01,0.011,0.007,0.015,6482
admin1,Alabama,2013-09-01,0.075,0.065,0.085,6482
admin1,Alabama,2013-10-01,0.256,0.24,0.272,6482
admin1,Alabama,2013-11-01,0.344,0.326,0.362,6482
admin1,Alabama,2013-12-01,0.373,0.353,0.393,6482
admin1,Alabama,2014-01-01,0.396,0.374,0.418,6812
admin1,Alabama,2014-02-01,0.417,0.393,0.441,6812
admin1,Alabama,2014-03-01,0.425,0.401,0.449,6812
admin1,Alabama,2014-04-01,0.425,0.401,0.449,6812
admin1,Alabama,2014-05-01,0.426,0.402,0.45,6812
admin1,Alabama,2014-08-01,0.012,0.008,0.016,6812
admin1,Alabama,2014-09-01,0.075,0.067,0.083,6812
admin1,Alabama,2014-10-01,0.255,0.237,0.273,6812
admin1,Alabama,2014-11-01,0.339,0.319,0.359,6812
admin1,Alabama,2014-12-01,0.367,0.345,0.389,6812
admin1,Alabama,2015-01-01,0.364,0.342,0.386,5447
admin1,Alabama,2015-02-01,0.382,0.358,0.406,5447
admin1,Alabama,2015-03-01,0.386,0.362,0.41,5447
admin1,Alabama,2015-04-01,0.388,0.364,0.412,5447
admin1,Alabama,2015-05-01,0.388,0.364,0.412,5447
admin1,Alabama,2015-08-01,0.016,0.01,0.022,5447
admin1,Alabama,2015-09-01,0.08,0.068,0.092,5447
admin1,Alabama,2015-10-01,0.239,0.221,0.257,5447
admin1,Alabama,2015-11-01,0.314,0.292,0.336,5447
admin1,Alabama,2015-12-01,0.34,0.318,0.362,5447
admin1,Alabama,2016-01-01,0.376,0.356,0.396,5346
admin1,Alabama,2016-02-01,0.39,0.368,0.412,5346
admin1,Alabama,2016-03-01,0.4,0.378,0.422,5346
admin1,Alabama,2016-04-01,0.407,0.385,0.429,5346
admin1,Alabama,2016-05-01,0.41,0.388,0.432,5346
admin1,Alabama,2016-07-01,0.004,0.002,0.006,5346
admin1,Alabama,2016-08-01,0.015,0.011,0.019,5346
admin1,Alabama,2016-09-01,0.081,0.071,0.091,5346
admin1,Alabama,2016-10-01,0.23,0.214,0.246,5346
admin1,Alabama,2016-11-01,0.309,0.291,0.327,5346
admin1,Alabama,2016-12-01,0.347,0.327,0.367,5346
admin1,Alabama,2017-01-01,0.358,0.338,0.378,4876
admin1,Alabama,2017-02-01,0.378,0.356,0.4,4876
admin1,Alabama,2017-03-01,0.387,0.365,0.409,4876
admin1,Alabama,2017-04-01,0.391,0.369,0.413,4876
admin1,Alabama,2017-05-01,0.392,0.37,0.414,4876
admin1,Alabama,2017-08-01,0.016,0.01,0.022,4876
admin1,Alabama,2017-09-01,0.072,0.062,0.082,4876
admin1,Alabama,2017-10-01,0.221,0.205,0.237,4876
admin1,Alabama,2017-11-01,0.288,0.27,0.306,4876
admin1,Alabama,2017-12-01,0.322,0.304,0.34,4876
admin1,Alabama,2018-01-01,0.405,0.383,0.427,5031
admin1,Alabama,2018-02-01,0.428,0.406,0.45,5031
admin1,Alabama,2018-03-01,0.436,0.414,0.458,5031
admin1,Alabama,2018-04-01,0.44,0.416,0.464,5031
admin1,Alabama,2018-05-01,0.448,0.424,0.472,5031
admin1,Alabama,2018-08-01,0.013,0.009,0.017,5031
admin1,Alabama,2018-09-01,0.084,0.074,0.094,5031
admin1,Alabama,2018-10-01,0.262,0.244,0.28,5031
admin1,Alabama,2018-11-01,0.339,0.321,0.357,5031
admin1,Alabama,2018-12-01,0.369,0.349,0.389,5031
admin1,Alabama,2019-01-01,0.437,0.415,0.459,4473
admin1,Alabama,2019-02-01,0.448,0.426,0.47,4473
admin1,Alabama,2019-03-01,0.454,0.432,0.476,4473
admin1,Alabama,2019-04-01,0.457,0.435,0.479,4473
admin1,Alabama,2019-05-01,0.458,0.436,0.48,4473
admin1,Alabama,2019-08-01,0.021,0.015,0.027,4473
admin1,Alabama,2019-09-01,0.094,0.082,0.106,4473
admin1,Alabama,2019-10-01,0.285,0.267,0.303,4473
admin1,Alabama,2019-11-01,0.382,0.362,0.402,4473
admin1,Alabama,2019-12-01,0.408,0.388,0.428,4473
admin1,Alabama,2020-01-01,0.429,0.404,0.454,3397
admin1,Alabama,2020-02-01,0.45,0.423,0.477,3397
admin1,Alabama,2020-03-01,0.461,0.434,0.488,3397
admin1,Alabama,2020-04-01,0.471,0.444,0.498,3397
admin1,Alabama,2020-05-01,0.471,0.444,0.498,3397
admin1,Alabama,2020-08-01,0.02,0.014,0.026,3397
admin1,Alabama,2020-09-01,0.105,0.091,0.119,3397
admin1,Alabama,2020-10-01,0.287,0.265,0.309,3397
admin1,Alabama,2020-11-01,0.382,0.358,0.406,3397
admin1,Alabama,2020-12-01,0.412,0.387,0.437,3397
admin1,Alabama,2021-01-01,0.417,0.392,0.442,3230
admin1,Alabama,2021-02-01,0.439,0.412,0.466,3230
admin1,Alabama,2021-03-01,0.452,0.423,0.481,3230
admin1,Alabama,2021-04-01,0.464,0.433,0.495,3230
admin1,Alabama,2021-05-01,0.464,0.433,0.495,3230
admin1,Alabama,2021-08-01,0.02,0.012,0.028,3230
admin1,Alabama,2021-09-01,0.096,0.082,0.11,3230
admin1,Alabama,2021-10-01,0.264,0.242,0.286,3230
admin1,Alabama,2021-11-01,0.351,0.327,0.375,3230
admin1,Alabama,2021-12-01,0.38,0.355,0.405,3230
admin1,Alabama,2022-01-01,0.38,0.355,0.405,2819
admin1,Alabama,2022-02-01,0.401,0.374,0.428,2819
admin1,Alabama,2022-03-01,0.409,0.382,0.436,2819
admin1,Alabama,2022-04-01,0.413,0.386,0.44,2819
admin1,Alabama,2022-05-01,0.423,0.392,0.454,2819
admin1,Alabama,2022-08-01,0.016,0.01,0.022,2819
admin1,Alabama,2022-09-01,0.086,0.074,0.098,2819
admin1,Alabama,2022-10-01,0.261,0.239,0.283,2819
admin1,Alabama,2022-11-01,0.328,0.304,0.352,2819
admin1,Alabama,2022-12-01,0.355,0.33,0.38,2819
admin1,Alaska,2009-01-01,0.357,0.325,0.389,2575
admin1,Alaska,2009-02-01,0.37,0.337,0.403,2575
admin1,Alaska,2009-03-01,0.374,0.341,0.407,2575
admin1,Alaska,2009-04-01,0.375,0.342,0.408,2575
admin1,Alaska,2009-05-01,0.377,0.344,0.41,2575
admin1,Alaska,2009-08-01,0.007,0.004,0.01,2575
admin1,Alaska,2009-09-01,0.083,0.069,0.097,2575
admin1,Alaska,2009-10-01,0.241,0.215,0.267,2575
admin1,Alaska,2009-11-01,0.319,0.289,0.349,2575
admin1,Alaska,2009-12-01,0.349,0.317,0.381,2575
admin1,Alaska,2010-01-01,0.318,0.287,0.349,2366
admin1,Alaska,2010-02-01,0.329,0.296,0.362,2366
admin1,Alaska,2010-03-01,0.332,0.299,0.365,2366
admin1,Alaska,2010-04-01,0.337,0.304,0.37,2366
admin1,Alaska,2010-05-01,0.337,0.304,0.37,2366
admin1,Alaska,2010-09-01,0.064,0.046,0.082,2366
admin1,Alaska,2010-10-01,0.201,0.176,0.226,2366
admin1,Alaska,2010-11-01,0.276,0.247,0.305,2366
admin1,Alaska,2010-12-01,0.299,0.268,0.33,2366
admin1,Alaska,2011-01-01,0.313,0.284,0.342,2836
admin1,Alaska,2011-02-01,0.324,0.295,0.353,2836
admin1,Alaska,2011-03-01,0.332,0.303,0.361,2836
admin1,Alaska,2011-04-01,0.333,0.304,0.362,2836
admin1,Alaska,2011-05-01,0.333,0.304,0.362,2836
admin1,Alaska,2011-08-01,0.009,0.005,0.013,2836
admin1,Alaska,2011-09-01,0.06,0.046,0.074,2836
admin1,Alaska,2011-10-01,0.191,0.169,0.213,2836
admin1,Alaska,2011-11-01,0.265,0.24,0.29,2836
admin1,Alaska,2011-12-01,0.295,0.268,0.322,2836
admin1,Alaska,2012-01-01,0.345,0.318,0.372,3187
admin1,Alaska,2012-02-01,0.365,0.336,0.394,3187
admin1,Alaska,2012-03-01,0.368,0.339,0.397,3187
admin1,Alaska,2012-04-01,0.374,0.345,0.403,3187
admin1,Alaska,2012-05-01,0.374,0.345,0.403,3187
admin1,Alaska,2012-08-01,0.011,0.007,0.015,3187
admin1,Alaska,2012-09-01,0.071,0.059,0.083,3187
admin1,Alaska,2012-10-01,0.202,0.182,0.222,3187
admin1,Alaska,2012-11-01,0.272,0.248,0.296,3187
admin1,Alaska,2012-12-01,0.299,0.275,0.323,3187
admin1,Alaska,2013-01-01,0.362,0.338,0.386,3950
admin1,Alaska,2013-02-01,0.373,0.348,0.398,3950
admin1,Alaska,2013-03-01,0.38,0.355,0.405,3950
admin1,Alaska,2013-04-01,0.383,0.358,0.408,3950
admin1,Alaska,2013-05-01,0.387,0.362,0.412,3950
admin1,Alaska,2013-08-01,0.013,0.007,0.019,3950
admin1,Alaska,2013-09-01,0.074,0.062,0.086,3950
admin1,Alaska,2013-10-01,0.219,0.201,0.237,3950
admin1,Alaska,2013-11-01,0.297,0.275,0.319,3950
admin1,Alaska,2013-12-01,0.324,0.3,0.348,3950
admin1,Alaska,2014-01-01,0.363,0.332,0.394,3032
admin1,Alaska,2014-02-01,0.378,0.347,0.409,3032
admin1,Alaska,2014-03-01,0.384,0.353,0.415,3032
admin1,Alaska,2014-04-01,0.408,0.369,0.447,3032
admin1,Alaska,2014-05-01,0.409,0.37,0.448,3032
admin1,Alaska,2014-08-01,0.018,0.01,0.026,3032
admin1,Alaska,2014-09-01,0.086,0.07,0.102,3032
admin1,Alaska,2014-10-01,0.245,0.221,0.269,3032
admin1,Alaska,2014-11-01,0.319,0.292,0.346,3032
admin1,Alaska,2014-12-01,0.342,0.313,0.371,3032
admin1,Alaska,2015-01-01,0.33,0.301,0.359,2453
admin1,Alaska,2015-02-01,0.335,0.306,0.364,2453
admin1,Alaska,2015-03-01,0.346,0.317,0.375,2453
admin1,Alaska,2015-04-01,0.347,0.318,0.376,2453
admin1,Alaska,2015-05-01,0.347,0.318,0.376,2453
admin1,Alaska,2015-08-01,0.024,0.014,0.034,2453
admin1,Alaska,2015-09-01,0.084,0.068,0.1,2453
admin1,Alaska,2015-10-01,0.231,0.207,0.255,2453
admin1,Alaska,2015-11-01,0.291,0.264,0.318,2453
admin1,Alaska,2015-12-01,0.309,0.282,0.336,2453
admin1,Alaska,2016-01-01,0.329,0.3,0.358,2760
admin1,Alaska,2016-02-01,0.35,0.319,0.381,2760
admin1,Alaska,2016-03-01,0.356,0.325,0.387,2760
admin1,Alaska,2016-04-01,0.367,0.332,0.402,2760
admin1,Alaska,2016-05-01,0.369,0.332,0.406,2760
admin1,Alaska,2016-08-01,0.012,0.006,0.018,2760
admin1,Alaska,2016-09-01,0.083,0.067,0.099,2760
admin1,Alaska,2016-10-01,0.226,0.201,0.251,2760
admin1,Alaska,2016-11-01,0.291,0.262,0.32,2760
admin1,Alaska,2016-12-01,0.304,0.275,0.333,2760
admin1,Alaska,2017-01-01,0.332,0.299,0.365,1938
admin1,Alaska,2017-02-01,0.346,0.313,0.379,1938
admin1,Alaska,2017-03-01,0.363,0.328,0.398,1938
admin1,Alaska,2017-04-01,0.368,0.333,0.403,1938
admin1,Alaska,2017-05-01,0.375,0.338,0.412,1938
admin1,Alaska,2017-09-01,0.073,0.053,0.093,1938
admin1,Alaska,2017-10-01,0.216,0.187,0.245,1938
admin1,Alaska,2017-11-01,0.269,0.238,0.3,1938
admin1,Alaska,2017-12-01,0.303,0.27,0.336,1938
admin1,Alaska,2018-01-01,0.352,0.323,0.381,2486
admin1,Alaska,2018-02-01,0.377,0.346,0.408,2486
admin1,Alaska,2018-03-01,0.389,0.356,0.422,2486
admin1,Alaska,2018-04-01,0.394,0.361,0.427,2486
admin1,Alaska,2018-05-01,0.407,0.366,0.448,2486
admin1,Alaska,2018-08-01,0.013,0.007,0.019,2486
admin1,Alaska,2018-09-01,0.078,0.062,0.094,2486
admin1,Alaska,2018-10-01,0.22,0.196,0.244,2486
admin1,Alaska,2018-11-01,0.3,0.273,0.327,2486
admin1,Alaska,2018-12-01,0.322,0.295,0.349,2486
admin1,Alaska,2019-01-01,0.39,0.357,0.423,2603
admin1,Alaska,2019-02-01,0.411,0.378,0.444,2603
admin1,Alaska,2019-03-01,0.415,0.382,0.448,2603
admin1,Alaska,2019-04-01,0.421,0.386,0.456,2603
admin1,Alaska,2019-05-01,0.421,0.386,0.456,2603
admin1,Alaska,2019-09-01,0.086,0.066,0.106,2603
admin1,Alaska,2019-10-01,0.24,0.213,0.267,2603
admin1,Alaska,2019-11-01,0.325,0.294,0.356,2603
admin1,Alaska,2019-12-01,0.358,0.327,0.389,2603
admin1,Alaska,2020-01-01,0.368,0.341,0.395,3192
admin1,Alaska,2020-02-01,0.392,0.365,0.419,3192
admin1,Alaska,2020-03-01,0.411,0.382,0.44,3192
admin1,Alaska,2020-04-01,0.428,0.397,0.459,3192
admin1,Alaska,2020-05-01,0.434,0.403,0.465,3192
admin1,Alaska,2020-08-01,0.016,0.01,0.022,3192
admin1,Alaska,2020-09-01,0.095,0.079,0.111,3192
admin1,Alaska,2020-10-01,0.257,0.233,0.281,3192
admin1,Alaska,2020-11-01,0.319,0.294,0.344,3192
admin1,Alaska,2020-12-01,0.344,0.317,0.371,3192
admin1,Alaska,2021-01-01,0.418,0.393,0.443,3777
admin1,Alaska,2021-02-01,0.444,0.419,0.469,3777
admin1,Alaska,2021-03-01,0.456,0.429,0.483,3777
admin1,Alaska,2021-04-01,0.484,0.453,0.515,3777
admin1,Alaska,2021-05-01,0.494,0.461,0.527,3777
admin1,Alaska,2021-07-01,0.004,0.002,0.006,3777
admin1,Alaska,2021-08-01,0.013,0.009,0.017,3777
admin1,Alaska,2021-09-01,0.082,0.07,0.094,3777
admin1,Alaska,2021-10-01,0.259,0.239,0.279,3777
admin1,Alaska,2021-11-01,0.347,0.323,0.371,3777
admin1,Alaska,2021-12-01,0.388,0.364,0.412,3777
admin1,Alaska,2022-01-01,0.354,0.332,0.376,4451
admin1,Alaska,2022-02-01,0.374,0.352,0.396,4451
admin1,Alaska,2022-03-01,0.387,0.365,0.409,4451
admin1,Alaska,2022-04-01,0.398,0.374,0.422,4451
admin1,Alaska,2022-05-01,0.403,0.379,0.427,4451
admin1,Alaska,2022-08-01,0.015,0.009,0.021,4451
admin1,Alaska,2022-09-01,0.08,0.068,0.092,4451
admin1,Alaska,2022-10-01,0.227,0.209,0.245,4451
admin1,Alaska,2022-11-01,0.302,0.282,0.322,4451
admin1,Alaska,2022-12-01,0.327,0.307,0.347,4451
admin1,Arizona,2009-01-01,0.38,0.354,0.406,5324
admin1,Arizona,2009-02-01,0.39,0.364,0.416,5324
admin1,Arizona,2009-03-01,0.399,0.371,0.427,5324
admin1,Arizona,2009-04-01,0.404,0.375,0.433,5324
admin1,Arizona,2009-05-01,0.404,0.375,0.433,5324
admin1,Arizona,2009-08-01,0.007,0.004,0.01,5324
admin1,Arizona,2009-09-01,0.087,0.075,0.099,5324
admin1,Arizona,2009-10-01,0.249,0.228,0.27,5324
admin1,Arizona,2009-11-01,0.336,0.311,0.361,5324
admin1,Arizona,2009-12-01,0.364,0.338,0.39,5324
admin1,Arizona,2010-01-01,0.353,0.324,0.382,5555
admin1,Arizona,2010-02-01,0.371,0.34,0.402,5555
admin1,Arizona,2010-03-01,0.386,0.353,0.419,5555
admin1,Arizona,2010-04-01,0.394,0.361,0.427,5555
admin1,Arizona,2010-05-01,0.395,0.362,0.428,5555
admin1,Arizona,2010-08-01,0.008,0.004,0.012,5555
admin1,Arizona,2010-09-01,0.068,0.054,0.082,5555
admin1,Arizona,2010-10-01,0.231,0.207,0.255,5555
admin1,Arizona,2010-11-01,0.308,0.283,0.333,5555
admin1,Arizona,2010-12-01,0.33,0.303,0.357,5555
admin1,Arizona,2011-01-01,0.333,0.309,0.357,5310
admin1,Arizona,2011-02-01,0.34,0.316,0.364,5310
admin1,Arizona,2011-03-01,0.347,0.322,0.372,5310
admin1,Arizona,2011-04-01,0.347,0.322,0.372,5310
admin1,Arizona,2011-05-01,0.347,0.322,0.372,5310
admin1,Arizona,2011-08-01,0.016,0.008,0.024,5310
admin1,Arizona,2011-09-01,0.09,0.076,0.104,5310
admin1,Arizona,2011-10-01,0.219,0.199,0.239,5310
admin1,Arizona,2011-11-01,0.287,0.263,0.311,5310
admin1,Arizona,2011-12-01,0.318,0.294,0.342,5310
admin1,Arizona,2012-01-01,0.324,0.299,0.349,4812
admin1,Arizona,2012-02-01,0.338,0.311,0.365,4812
admin1,Arizona,2012-03-01,0.343,0.316,0.37,4812
admin1,Arizona,2012-04-01,0.347,0.32,0.374,4812
admin1,Arizona,2012-05-01,0.349,0.322,0.376,4812
admin1,Arizona,2012-08-01,0.009,0.005,0.013,4812
admin1,Arizona,2012-09-01,0.065,0.055,0.075,4812
admin1,Arizona,2012-10-01,0.197,0.177,0.217,4812
admin1,Arizona,2012-11-01,0.266,0.244,0.288,4812
admin1,Arizona,2012-12-01,0.289,0.265,0.313,4812
admin1,Arizona,2013-01-01,0.321,0.301,0.341,7066
admin1,Arizona,2013-02-01,0.339,0.319,0.359,7066
admin1,Arizona,2013-03-01,0.348,0.328,0.368,7066
admin1,Arizona,2013-04-01,0.352,0.332,0.372,7066
admin1,Arizona,2013-05-01,0.354,0.334,0.374,7066
admin1,Arizona,2013-08-01,0.015,0.009,0.021,7066
admin1,Arizona,2013-09-01,0.075,0.063,0.087,7066
admin1,Arizona,2013-10-01,0.218,0.2,0.236,7066
admin1,Arizona,2013-11-01,0.272,0.254,0.29,7066
admin1,Arizona,2013-12-01,0.295,0.277,0.313,7066
admin1,Arizona,2014-01-01,0.353,0.333,0.373,7978
admin1,Arizona,2014-02-01,0.363,0.343,0.383,7978
admin1,Arizona,2014-03-01,0.373,0.353,0.393,7978
admin1,Arizona,2014-04-01,0.377,0.357,0.397,7978
admin1,Arizona,2014-05-01,0.384,0.362,0.406,7978
admin1,Arizona,2014-08-01,0.011,0.007,0.015,7978
admin1,Arizona,2014-09-01,0.07,0.062,0.078,7978
admin1,Arizona,2014-10-01,0.22,0.206,0.234,7978
admin1,Arizona,2014-11-01,0.293,0.277,0.309,7978
admin1,Arizona,2014-12-01,0.324,0.306,0.342,7978
admin1,Arizona,2015-01-01,0.351,0.333,0.369,7321
admin1,Arizona,2015-02-01,0.368,0.35,0.386,7321
admin1,Arizona,2015-03-01,0.376,0.356,0.396,7321
admin1,Arizona,2015-04-01,0.381,0.361,0.401,7321
admin1,Arizona,2015-05-01,0.383,0.363,0.403,7321
admin1,Arizona,2015-08-01,0.012,0.008,0.016,7321
admin1,Arizona,2015-09-01,0.074,0.066,0.082,7321
admin1,Arizona,2015-10-01,0.226,0.212,0.24,7321
admin1,Arizona,2015-11-01,0.3,0.284,0.316,7321
admin1,Arizona,2015-12-01,0.33,0.314,0.346,7321
admin1,Arizona,2016-01-01,0.362,0.348,0.376,8904
admin1,Arizona,2016-02-01,0.377,0.361,0.393,8904
admin1,Arizona,2016-03-01,0.383,0.367,0.399,8904
admin1,Arizona,2016-04-01,0.387,0.371,0.403,8904
admin1,Arizona,2016-05-01,0.392,0.374,0.41,8904
admin1,Arizona,2016-08-01,0.016,0.012,0.02,8904
admin1,Arizona,2016-09-01,0.09,0.082,0.098,8904
admin1,Arizona,2016-10-01,0.234,0.222,0.246,8904
admin1,Arizona,2016-11-01,0.308,0.294,0.322,8904
admin1,Arizona,2016-12-01,0.335,0.321,0.349,8904
admin1,Arizona,2017-01-01,0.313,0.297,0.329,9927
admin1,Arizona,2017-02-01,0.331,0.313,0.349,9927
admin1,Arizona,2017-03-01,0.339,0.321,0.357,9927
admin1,Arizona,2017-04-01,0.345,0.325,0.365,9927
admin1,Arizona,2017-05-01,0.352,0.33,0.374,9927
admin1,Arizona,2017-08-01,0.015,0.011,0.019,9927
admin1,Arizona,2017-09-01,0.077,0.071,0.083,9927
admin1,Arizona,2017-10-01,0.198,0.186,0.21,9927
admin1,Arizona,2017-11-01,0.264,0.25,0.278,9927
admin1,Arizona,2017-12-01,0.293,0.279,0.307,9927
admin1,Arizona,2018-01-01,0.383,0.361,0.405,6461
admin1,Arizona,2018-02-01,0.402,0.378,0.426,6461
admin1,Arizona,2018-03-01,0.42,0.396,0.444,6461
admin1,Arizona,2018-04-01,0.421,0.397,0.445,6461
admin1,Arizona,2018-05-01,0.426,0.401,0.451,6461
admin1,Arizona,2018-08-01,0.017,0.011,0.023,6461
admin1,Arizona,2018-09-01,0.086,0.074,0.098,6461
admin1,Arizona,2018-10-01,0.254,0.236,0.272,6461
admin1,Arizona,2018-11-01,0.325,0.305,0.345,6461
admin1,Arizona,2018-12-01,0.355,0.333,0.377,6461
admin1,Arizona,2019-01-01,0.408,0.388,0.428,6728
admin1,Arizona,2019-02-01,0.422,0.402,0.442,6728
admin1,Arizona,2019-03-01,0.431,0.411,0.451,6728
admin1,Arizona,2019-04-01,0.432,0.412,0.452,6728
admin1,Arizona,2019-05-01,0.432,0.412,0.452,6728
admin1,Arizona,2019-07-01,0.005,0.003,0.007,6728
admin1,Arizona,2019-08-01,0.018,0.014,0.022,6728
admin1,Arizona,2019-09-01,0.089,0.079,0.099,6728
admin1,Arizona,2019-10-01,0.269,0.251,0.287,6728
admin1,Arizona,2019-11-01,0.348,0.33,0.366,6728
admin1,Arizona,2019-12-01,0.376,0.358,0.394,6728
admin1,Arizona,2020-01-01,0.425,0.405,0.445,6983
admin1,Arizona,2020-02-01,0.443,0.423,0.463,6983
admin1,Arizona,2020-03-01,0.458,0.436,0.48,6983
admin1,Arizona,2020-04-01,0.469,0.447,0.491,6983
admin1,Arizona,2020-05-01,0.476,0.452,0.5,6983
admin1,Arizona,2020-07-01,0.005,0.003,0.007,6983
admin1,Arizona,2020-08-01,0.026,0.02,0.032,6983
admin1,Arizona,2020-09-01,0.124,0.114,0.134,6983
admin1,Arizona,2020-10-01,0.282,0.266,0.298,6983
admin1,Arizona,2020-11-01,0.357,0.339,0.375,6983
admin1,Arizona,2020-12-01,0.388,0.37,0.406,6983
admin1,Arizona,2021-01-01,0.377,0.353,0.401,6779
admin1,Arizona,2021-02-01,0.402,0.378,0.426,6779
admin1,Arizona,2021-03-01,0.415,0.39,0.44,6779
admin1,Arizona,2021-04-01,0.425,0.4,0.45,6779
admin1,Arizona,2021-05-01,0.425,0.4,0.45,6779
admin1,Arizona,2021-08-01,0.017,0.013,0.021,6779
admin1,Arizona,2021-09-01,0.086,0.076,0.096,6779
admin1,Arizona,2021-10-01,0.224,0.208,0.24,6779
admin1,Arizona,2021-11-01,0.307,0.287,0.327,6779
admin1,Arizona,2021-12-01,0.342,0.32,0.364,6779
admin1,Arizona,2022-01-01,0.378,0.358,0.398,7268
admin1,Arizona,2022-02-01,0.397,0.377,0.417,7268
admin1,Arizona,2022-03-01,0.409,0.389,0.429,7268
admin1,Arizona,2022-04-01,0.415,0.395,0.435,7268
admin1,Arizona,2022-05-01,0.421,0.399,0.443,7268
admin1,Arizona,2022-07-01,0.005,0.003,0.007,7268
admin1,Arizona,2022-08-01,0.017,0.013,0.021,7268
admin1,Arizona,2022-09-01,0.098,0.086,0.11,7268
admin1,Arizona,2022-10-01,0.254,0.236,0.272,7268
admin1,Arizona,2022-11-01,0.328,0.308,0.348,7268
admin1,Arizona,2022-12-01,0.353,0.333,0.373,7268
admin1,Arkansas,2009-01-01,0.452,0.425,0.479,3950
admin1,Arkansas,2009-02-01,0.459,0.432,0.486,3950
admin1,Arkansas,2009-03-01,0.471,0.441,0.501,3950
admin1,Arkansas,2009-04-01,0.472,0.442,0.502,3950
admin1,Arkansas,2009-05-01,0.472,0.442,0.502,3950
admin1,Arkansas,2009-09-01,0.057,0.048,0.066,3950
admin1,Arkansas,2009-10-01,0.246,0.226,0.266,3950
admin1,Arkansas,2009-11-01,0.384,0.359,0.409,3950
admin1,Arkansas,2009-12-01,0.427,0.401,0.453,3950
admin1,Arkansas,2010-01-01,0.373,0.342,0.404,3645
admin1,Arkansas,2010-02-01,0.384,0.353,0.415,3645
admin1,Arkansas,2010-03-01,0.393,0.36,0.426,3645
admin1,Arkansas,2010-04-01,0.402,0.365,0.439,3645
admin1,Arkansas,2010-05-01,0.404,0.367,0.441,3645
admin1,Arkansas,2010-09-01,0.032,0.024,0.04,3645
admin1,Arkansas,2010-10-01,0.204,0.182,0.226,3645
admin1,Arkansas,2010-11-01,0.325,0.298,0.352,3645
admin1,Arkansas,2010-12-01,0.358,0.329,0.387,3645
admin1,Arkansas,2011-01-01,0.376,0.351,0.401,4042
admin1,Arkansas,2011-02-01,0.388,0.363,0.413,4042
admin1,Arkansas,2011-03-01,0.403,0.376,0.43,4042
admin1,Arkansas,2011-04-01,0.405,0.378,0.432,4042
admin1,Arkansas,2011-05-01,0.414,0.385,0.443,4042
admin1,Arkansas,2011-09-01,0.051,0.039,0.063,4042
admin1,Arkansas,2011-10-01,0.222,0.198,0.246,4042
admin1,Arkansas,2011-11-01,0.335,0.31,0.36,4042
